t_id,t_date,tour_wk,t_name,t_country,t_surf,t_indoor,t_alt,t_lvl,t_draw_size,m_num,t_round,t_round_num,m_best_of,m_score,m_time(m),w_id,w_name,w_rank,w_rank_pts,w_ioc,w_ent,w_hd,w_ht,w_age,w_svpt,w_1stWon,w_2ndWon,w_SvGms,w_ace,w_bpSaved,w_bpFaced,l_id,l_name,l_rank,l_rank_pts,l_ioc,l_ent,l_hd,l_ht,l_age,l_svpt,l_1stWon,l_2ndWon,l_SvGms,l_ace,l_bpSaved,l_bpFaced,t_loc,AvgW_IP_NV,AvgL_IP_NV
2019-7290,20190429,2019_13,Estoril,POR,Clay,0,0,1,32,16,R16,2,3,6-1 6-2,46.0,200221,Alejandro Davidovich Fokina,167.0,326.0,ESP,2.5,R,183.0,19.9,32.0,20.0,4.0,7.0,1.0,0.0,1.0,104871,Jeremy Chardy,42.0,1040.0,FRA,5,R,188.0,32.21,46.0,15.0,2.0,8.0,1.0,4.0,10.0,Estoril,46.84,53.16
2019-0717,20190408,2019_10,Houston,USA,Clay,0,0,1,32,19,R16,2,3,6-1 6-2,47.0,104719,Marcel Granollers,112.0,520.0,ESP,5,R,190.0,32.99,34.0,19.0,10.0,7.0,5.0,3.0,3.0,106071,Bernard Tomic,79.0,704.0,AUS,5,R,193.0,26.46,51.0,20.0,4.0,8.0,0.0,0.0,5.0,Houston,59.18,40.82
2019-0425,20190422,2019_12,Barcelona,ESP,Clay,0,0,1,64,32,R64,1,3,6-3 6-1,51.0,105526,Jan Lennard Struff,51.0,945.0,GER,5,R,193.0,28.99,50.0,27.0,9.0,8.0,7.0,3.0,3.0,106198,Hugo Dellien,92.0,631.0,BOL,2.5,R,180.0,25.85,41.0,15.0,7.0,8.0,2.0,0.0,4.0,Barcelona,62.81,37.19
2019-7290,20190429,2019_13,Estoril,POR,Clay,0,0,1,32,33,R32,1,3,6-3 6-0,51.0,105357,John Millman,50.0,965.0,AUS,5,R,183.0,29.87,43.0,23.0,10.0,8.0,5.0,1.0,1.0,106071,Bernard Tomic,76.0,724.0,AUS,5,R,193.0,26.52,44.0,16.0,6.0,7.0,2.0,3.0,7.0,Estoril,67.21,32.79
2019-0308,20190429,2019_13,Munich,GER,Clay,0,0,1,32,34,R32,1,3,6-1 6-1,51.0,106329,Thiago Monteiro,111.0,523.0,BRA,2.5,L,183.0,24.91,35.0,24.0,4.0,7.0,4.0,0.0,0.0,105526,Jan Lennard Struff,48.0,990.0,GER,5,R,193.0,29.01,44.0,9.0,10.0,7.0,2.0,4.0,9.0,Munich,27.14,72.86
2019-M021,20190506,2019_14,Madrid Masters,ESP,Clay,0,0,2,64,39,R32,2,3,6-2 6-3,52.0,103819,Roger Federer,3.0,5590.0,SUI,5,R,185.0,37.74,51.0,21.0,16.0,9.0,7.0,0.0,0.0,104755,Richard Gasquet,39.0,1105.0,FRA,5,R,185.0,32.88,40.0,19.0,5.0,8.0,1.0,0.0,3.0,Madrid,86.55,13.45
2019-0533,20190225,2019_07,Sao Paulo,BRA,Clay,1,0,1,32,46,QF,3,3,6-1 6-1,53.0,134770,Casper Ruud,108.0,527.0,NOR,5,R,183.0,20.18,40.0,21.0,8.0,7.0,3.0,0.0,0.0,106198,Hugo Dellien,95.0,600.0,BOL,5,R,180.0,25.69,40.0,12.0,5.0,7.0,0.0,3.0,8.0,Sao Paulo,63.08,36.92
2019-0308,20190429,2019_13,Munich,GER,Clay,0,0,1,32,48,R32,1,3,6-2 6-1,53.0,105550,Guido Pella,26.0,1445.0,ARG,5,L,185.0,28.95,38.0,18.0,11.0,7.0,1.0,3.0,3.0,104999,Mischa Zverev,95.0,616.0,GER,5,L,190.0,31.69,50.0,18.0,5.0,8.0,3.0,1.0,6.0,Munich,86.04,13.96
2019-0410,20190415,2019_11,Monte Carlo Masters,FRA,Clay,0,0,2,64,52,R64,1,3,6-1 6-1,54.0,106421,Daniil Medvedev,14.0,2295.0,RUS,5,R,198.0,23.17,40.0,15.0,14.0,7.0,5.0,0.0,0.0,105311,Joao Sousa,51.0,937.0,POR,5,R,185.0,30.04,46.0,15.0,4.0,7.0,1.0,3.0,8.0,Monte Carlo,61.15,38.85
2019-0360,20190408,2019_10,Marrakech,MOR,Clay,0,0,1,32,61,R32,1,3,6-3 6-0,55.0,106121,Taro Daniel,75.0,716.0,JPN,5,R,191.0,26.19,47.0,21.0,11.0,8.0,3.0,1.0,2.0,104999,Mischa Zverev,72.0,726.0,GER,5,L,190.0,31.63,37.0,11.0,3.0,7.0,2.0,2.0,7.0,Marrakech,64.9,35.1
