t_id,t_date,tour_wk,t_name,t_country,t_surf,t_indoor,t_alt,t_lvl,t_draw_size,m_num,t_round,t_round_num,m_best_of,m_score,m_time(m),w_id,w_name,w_rank,w_rank_pts,w_ioc,w_ent,w_hd,w_ht,w_age,w_svpt,w_1stWon,w_2ndWon,w_SvGms,w_ace,w_bpSaved,w_bpFaced,l_id,l_name,l_rank,l_rank_pts,l_ioc,l_ent,l_hd,l_ht,l_age,l_svpt,l_1stWon,l_2ndWon,l_SvGms,l_ace,l_bpSaved,l_bpFaced,t_loc,AvgW_IP_NV,AvgL_IP_NV
2019-6242,20190819,2019_23,Winston-Salem,USA,Hard,0,0,1,64,11,R64,1,3,6-0 6-0,40.0,106216,Bjorn Fratangelo,119.0,467.0,USA,2.5,R,183.0,26.08,29.0,17.0,7.0,6.0,6.0,0.0,0.0,104804,Amir Weintraub,,,ISR,4,R,188.0,32.92,38.0,8.0,2.0,6.0,0.0,5.0,11.0,Winston-Salem,90.75,9.25
2019-7485,20191014,2019_29,Antwerp,BEL,Hard,1,0,1,32,14,R32,1,3,6-2 6-1,44.0,105526,Jan Lennard Struff,41.0,1155.0,GER,5,R,193.0,29.47,33.0,23.0,5.0,7.0,5.0,0.0,0.0,106296,Gregoire Barrere,84.0,638.0,FRA,2.5,R,183.0,25.66,56.0,16.0,9.0,8.0,4.0,2.0,7.0,Antwerp,60.61,39.39
2019-0375,20190204,2019_04,Montpellier,FRA,Hard,1,0,1,32,15,R32,1,3,6-1 6-1,46.0,104871,Jeremy Chardy,35.0,1155.0,FRA,5,R,188.0,31.98,35.0,20.0,9.0,7.0,9.0,0.0,0.0,104629,Adrian Menendez Maceiras,124.0,451.0,ESP,2,R,183.0,33.27,41.0,11.0,6.0,7.0,2.0,2.0,7.0,Montpellier,69.68,30.32
2019-M020,20181231,2019_01,Brisbane,AUS,Hard,0,0,1,32,18,R32,1,3,6-0 6-3,47.0,105683,Milos Raonic,18.0,1855.0,CAN,5,R,196.0,28.01,38.0,27.0,5.0,8.0,18.0,0.0,0.0,105379,Aljaz Bedene,67.0,780.0,SLO,5,R,181.0,29.45,43.0,16.0,2.0,7.0,4.0,4.0,8.0,Brisbane,77.74,22.26
2019-560,20190826,2019_24,US Open,USA,Hard,0,0,4,128,20,R128,1,5,6-1 4-1 RET,47.0,105453,Kei Nishikori,7.0,4005.0,JPN,5,R,178.0,29.66,35.0,18.0,8.0,6.0,1.0,0.0,0.0,105477,Marco Trungelliti,205.0,237.0,ARG,2.5,R,178.0,29.57,33.0,9.0,4.0,6.0,2.0,3.0,7.0,Flushing Meadows,91.09,8.91
2019-0429,20191014,2019_29,Stockholm,SWE,Hard,0,0,1,32,23,QF,3,3,6-0 6-3,48.0,133430,Denis Shapovalov,34.0,1255.0,CAN,5,L,185.0,20.5,33.0,21.0,7.0,7.0,4.0,0.0,0.0,105649,Cedrik Marcel Stebe,213.0,230.0,GER,2.5,L,183.0,29.01,42.0,13.0,5.0,8.0,1.0,2.0,7.0,Stockholm,77.39,22.61
2019-0329,20190930,2019_27,Tokyo,JPN,Hard,0,0,1,32,24,R16,2,3,6-1 6-2,49.0,106298,Lucas Pouille,24.0,1520.0,FRA,5,R,185.0,25.6,39.0,23.0,9.0,8.0,6.0,0.0,0.0,106415,Yoshihito Nishioka,77.0,719.0,JPN,5,L,170.0,24.01,38.0,13.0,4.0,7.0,1.0,1.0,5.0,Tokyo,53.42,46.58
2019-0329,20190930,2019_27,Tokyo,JPN,Hard,0,0,1,32,28,QF,3,3,6-1 6-2,50.0,104925,Novak Djokovic,1.0,9865.0,SRB,5,R,188.0,32.36,40.0,18.0,13.0,8.0,8.0,1.0,2.0,106298,Lucas Pouille,24.0,1520.0,FRA,5,R,185.0,25.6,36.0,11.0,3.0,7.0,0.0,1.0,6.0,Tokyo,85.34,14.66
2019-M001,20190107,2019_02,Sydney,AUS,Hard,0,0,1,32,29,R32,1,3,6-1 4-1 RET,51.0,105023,Sam Querrey,48.0,955.0,USA,5,R,198.0,31.25,26.0,17.0,7.0,6.0,8.0,0.0,0.0,104291,Malek Jaziri,42.0,1042.0,TUN,5,R,185.0,34.97,46.0,14.0,8.0,6.0,0.0,8.0,12.0,Sydney,69.91,30.09
2019-7434,20190204,2019_04,Sofia,BUL,Hard,1,0,1,32,30,R32,1,3,6-2 6-1,51.0,104269,Fernando Verdasco,26.0,1455.0,ESP,5,L,188.0,35.22,44.0,28.0,5.0,8.0,7.0,1.0,1.0,200247,Alexandar Lazarov,,,BUL,2.5,R,191.0,21.25,42.0,12.0,8.0,7.0,2.0,1.0,5.0,Sofia,91.35,8.65
