t_loc,t_name,Date,t_surf,t_round,w_name,l_name,w_rank,l_rank,AvgW_BL,AvgL_BL,Comment,tour_wk,AvgW_AO,AvgL_AO,AvgW_IP,AvgL_IP,AvgW_IP_NV,AvgL_IP_NV
Cordoba,Cordoba Open,2019-02-04,Clay,1st Round,Sonego L.,Andujar P.,113.0,82.0,2.13,1.7,Completed,2019_04,112.99999999999999,-142.85714285714286,46.948356807511736,58.82352941176471,44.39,55.61
Cordoba,Cordoba Open,2019-02-04,Clay,1st Round,Bedene A.,Marterer M.,65.0,76.0,1.95,1.84,Completed,2019_04,-105.26315789473685,-119.04761904761904,51.28205128205129,54.347826086956516,48.55,51.45
Cordoba,Cordoba Open,2019-02-04,Clay,1st Round,Cachin P.,Norrie C.,280.0,64.0,2.41,1.56,Completed,2019_04,141.0,-178.57142857142856,41.49377593360996,64.1025641025641,39.29,60.71
Cordoba,Cordoba Open,2019-02-04,Clay,1st Round,Pella G.,Lorenzi P.,59.0,114.0,1.27,3.74,Completed,2019_04,-370.3703703703703,274.0,78.74015748031495,26.737967914438503,74.65,25.35
Cordoba,Cordoba Open,2019-02-05,Clay,1st Round,Jaziri M.,Berlocq C.,43.0,135.0,2.9,1.4,Completed,2019_04,190.0,-250.00000000000006,34.48275862068966,71.42857142857143,32.56,67.44
Cordoba,Cordoba Open,2019-02-05,Clay,1st Round,Giannessi A.,Seyboth Wild T.,168.0,451.0,1.49,2.61,Completed,2019_04,-204.08163265306123,161.0,67.11409395973155,38.31417624521073,63.66,36.34
Cordoba,Cordoba Open,2019-02-05,Clay,1st Round,Carballes Baena R.,Martin A.,74.0,181.0,1.51,2.54,Completed,2019_04,-196.078431372549,154.0,66.2251655629139,39.37007874015748,62.72,37.28
Cordoba,Cordoba Open,2019-02-05,Clay,1st Round,Londero J.I.,Jarry N.,112.0,41.0,2.38,1.57,Completed,2019_04,138.0,-175.43859649122805,42.016806722689076,63.69426751592356,39.75,60.25
Cordoba,Cordoba Open,2019-02-05,Clay,1st Round,Cuevas P.,Bagnis F.,92.0,149.0,1.61,2.3,Completed,2019_04,-163.93442622950818,129.99999999999997,62.11180124223602,43.47826086956522,58.82,41.18
Cordoba,Cordoba Open,2019-02-05,Clay,1st Round,Munar J.,Andreozzi G.,81.0,70.0,1.55,2.44,Completed,2019_04,-181.8181818181818,144.0,64.51612903225806,40.98360655737705,61.15,38.85
Cordoba,Cordoba Open,2019-02-06,Clay,1st Round,Ramos-Vinolas A.,Dellien H.,71.0,116.0,1.52,2.47,Completed,2019_04,-192.3076923076923,147.00000000000003,65.78947368421053,40.48582995951416,61.9,38.1
Cordoba,Cordoba Open,2019-02-06,Clay,1st Round,Delbonis F.,Mayer L.,77.0,49.0,1.85,1.94,Completed,2019_04,-117.6470588235294,-106.38297872340426,54.054054054054056,51.546391752577314,51.19,48.81
