t_loc,t_name,Date,t_surf,t_round,w_name,l_name,w_rank,l_rank,AvgW_BL,AvgL_BL,Comment,tour_wk,AvgW_AO,AvgL_AO,AvgW_IP,AvgL_IP,AvgW_IP_NV,AvgL_IP_NV
Brisbane,Brisbane International,2019-01-01,Hard,1st Round,Dimitrov G.,Nishioka Y.,19.0,75.0,1.35,3.18,Completed,2019_01,-285.71428571428567,218.00000000000003,74.07407407407408,31.446540880503143,70.2,29.8
Brisbane,Brisbane International,2019-01-01,Hard,1st Round,Raonic M.,Bedene A.,18.0,67.0,1.22,4.26,Completed,2019_01,-454.5454545454546,326.0,81.9672131147541,23.474178403755868,77.74,22.26
Brisbane,Brisbane International,2019-01-01,Hard,1st Round,Kecmanovic M.,Mayer L.,131.0,56.0,1.63,2.28,Completed,2019_01,-158.73015873015876,127.99999999999999,61.34969325153374,43.859649122807014,58.31,41.69
Brisbane,Brisbane International,2019-01-01,Hard,1st Round,Millman J.,Sandgren T.,38.0,61.0,1.4,2.95,Completed,2019_01,-250.00000000000006,195.00000000000003,71.42857142857143,33.89830508474576,67.82,32.18
Brisbane,Brisbane International,2019-01-01,Hard,1st Round,Uchiyama Y.,Humbert U.,185.0,102.0,2.69,1.47,Completed,2019_01,169.0,-212.76595744680853,37.174721189591075,68.02721088435374,35.34,64.66
Brisbane,Brisbane International,2019-01-01,Hard,1st Round,Kudla D.,Fritz T.,63.0,49.0,2.7,1.47,Completed,2019_01,170.00000000000003,-212.76595744680853,37.03703703703704,68.02721088435374,35.25,64.75
Brisbane,Brisbane International,2019-01-01,Hard,1st Round,Chardy J.,Struff J.L.,40.0,57.0,2.19,1.68,Completed,2019_01,119.0,-147.05882352941177,45.662100456621005,59.523809523809526,43.41,56.59
Brisbane,Brisbane International,2019-01-01,Hard,1st Round,Murray A.,Duckworth J.,240.0,234.0,1.34,3.26,Completed,2019_01,-294.1176470588235,225.99999999999997,74.62686567164178,30.67484662576687,70.87,29.13
Brisbane,Brisbane International,2019-01-01,Hard,1st Round,Kyrgios N.,Harrison R.,35.0,62.0,1.44,2.8,Completed,2019_01,-227.2727272727273,179.99999999999997,69.44444444444446,35.714285714285715,66.04,33.96
Brisbane,Brisbane International,2019-01-01,Hard,1st Round,Tsonga J.W.,Kokkinakis T.,239.0,146.0,2.27,1.64,Completed,2019_01,127.0,-156.25000000000003,44.052863436123346,60.97560975609757,41.94,58.06
Brisbane,Brisbane International,2019-01-01,Hard,1st Round,De Minaur A.,Popyrin A.,31.0,147.0,1.2,4.55,Completed,2019_01,-500.0000000000001,355.0,83.33333333333334,21.978021978021978,79.13,20.87
Brisbane,Brisbane International,2019-01-01,Hard,1st Round,Thompson J.,Bolt A.,72.0,154.0,1.36,3.14,Completed,2019_01,-277.7777777777777,214.0,73.52941176470587,31.84713375796178,69.78,30.22
Brisbane,Brisbane International,2019-01-02,Hard,2nd Round,Dimitrov G.,Millman J.,19.0,38.0,1.43,2.82,Completed,2019_01,-232.55813953488376,181.99999999999997,69.93006993006993,35.46099290780142,66.35,33.65
Brisbane,Brisbane International,2019-01-02,Hard,2nd Round,Uchiyama Y.,Edmund K.,185.0,14.0,4.26,1.22,Completed,2019_01,326.0,-454.5454545454546,23.474178403755868,81.9672131147541,22.26,77.74
Brisbane,Brisbane International,2019-01-02,Hard,2nd Round,Nishikori K.,Kudla D.,9.0,63.0,1.16,5.17,Completed,2019_01,-625.0000000000003,417.0,86.20689655172414,19.342359767891683,81.67,18.33
Brisbane,Brisbane International,2019-01-02,Hard,2nd Round,Raonic M.,Kecmanovic M.,18.0,131.0,1.21,4.48,Completed,2019_01,-476.19047619047626,348.00000000000006,82.64462809917356,22.32142857142857,78.73,21.27
Brisbane,Brisbane International,2019-01-02,Hard,2nd Round,Chardy J.,Kyrgios N.,40.0,35.0,3.11,1.37,Completed,2019_01,211.0,-270.2702702702702,32.154340836012864,72.99270072992701,30.58,69.42
Brisbane,Brisbane International,2019-01-02,Hard,2nd Round,Medvedev D.,Murray A.,16.0,240.0,1.88,1.93,Completed,2019_01,-113.63636363636365,-107.52688172043011,53.191489361702125,51.81347150259068,50.66,49.34
Brisbane,Brisbane International,2019-01-02,Hard,2nd Round,De Minaur A.,Thompson J.,31.0,72.0,1.38,3.06,Completed,2019_01,-263.1578947368422,206.0,72.46376811594205,32.6797385620915,68.92,31.08
Brisbane,Brisbane International,2019-01-03,Hard,2nd Round,Tsonga J.W.,Daniel T.,239.0,77.0,1.27,3.84,Completed,2019_01,-370.3703703703703,284.0,78.74015748031495,26.041666666666668,75.15,24.85
Brisbane,Brisbane International,2019-01-03,Hard,Quarterfinals,Chardy J.,Uchiyama Y.,40.0,185.0,1.61,2.34,Completed,2019_01,-163.93442622950818,134.0,62.11180124223602,42.73504273504273,59.24,40.76
Brisbane,Brisbane International,2019-01-03,Hard,Quarterfinals,Nishikori K.,Dimitrov G.,9.0,19.0,1.65,2.26,Completed,2019_01,-153.84615384615387,125.99999999999997,60.60606060606061,44.247787610619476,57.8,42.2
Brisbane,Brisbane International,2019-01-04,Hard,Quarterfinals,Medvedev D.,Raonic M.,16.0,18.0,2.04,1.79,Completed,2019_01,104.0,-126.58227848101265,49.01960784313725,55.865921787709496,46.74,53.26
Brisbane,Brisbane International,2019-01-04,Hard,Quarterfinals,Tsonga J.W.,De Minaur A.,239.0,31.0,2.42,1.57,Completed,2019_01,142.0,-175.43859649122805,41.32231404958678,63.69426751592356,39.35,60.65
Brisbane,Brisbane International,2019-01-05,Hard,Semifinals,Nishikori K.,Chardy J.,9.0,40.0,1.17,5.11,Completed,2019_01,-588.2352941176473,411.00000000000006,85.47008547008548,19.569471624266143,81.37,18.63
Brisbane,Brisbane International,2019-01-05,Hard,Semifinals,Medvedev D.,Tsonga J.W.,16.0,239.0,1.67,2.23,Completed,2019_01,-149.2537313432836,123.0,59.88023952095809,44.843049327354265,57.18,42.82
Brisbane,Brisbane International,2019-01-06,Hard,The Final,Nishikori K.,Medvedev D.,9.0,16.0,1.6,2.36,Completed,2019_01,-166.66666666666663,136.0,62.5,42.3728813559322,59.6,40.4
Doha,Qatar Exxon Mobil Open,2019-01-01,Hard,1st Round,Bautista Agut R.,Berrettini M.,24.0,54.0,1.35,3.23,Completed,2019_01,-285.71428571428567,223.0,74.07407407407408,30.959752321981426,70.52,29.48
